fdcId,brandOwner,ingredients,Total_Sugars,Added_Sugars
1130311,R. Torre & Co.Inc.,"WATER, NATURAL FLAVORS, CARAMEL COLOR, CITRIC ACID, ACESULFAME POTASSIUM, SODIUM BENZOATE (TO PRESERVE FRESHNESS), POTASSIUM SORBATE (TO PRESERVE FRESHNESS), XANTHAN GUM, SUCRALOSE.",0.0,
1135129,Ross Products Division,"INGREDIENTS: WATER, MILK PROTEIN CONCENTRATE; LESS THAN 2% OF THE FOLLOWING: COCOA POWDER (PROCESSED WITH ALKALI), VITAMIN AND MINERAL BLEND (POTASSIUM PHOSPHATE, POTASSIUM CITRATE, SODIUM CHLORIDE, SODIUM ASCORBATE, MAGNESIUM CARBONATE, ZINC GLUCONATE, DL-ALPHA-TOCOPHERYL ACETATE, NIACINAMIDE, MANGANESE GLUCONATE, CALCIUM PANTOTHENATE, VITAMIN A PALMITATE, PYRIDOXINE HYDROCHLORIDE, THIAMINE CHLORIDE HYDROCHLORIDE, RIBOFLAVIN, CHROMIUM CHLORIDE, FOLIC ACID, BETA-CAROTENE, VITAMIN D3, BIOTIN, SODIUM MOLYBDATE, SODIUM SELENITE, POTASSIUM IODIDE, PHYTONADIONE AND CYANOCOBALAMIN), VEGETABLE OIL (HIGH OLEIC SUNFLOWER OIL AND/OR CANOLA OIL), NATURAL AND ARTIFICIAL FLAVOR, CELLULOSE GUM, ACESULFAME POTASSIUM, LIQUID SUCRALOSE, CARRAGEENAN, SOY LECITHIN, CELLULOSE GEL AND GELLAN GUM.",0.0,
743426,LILY'S,"UNSWEETENED COCOA, ERYTHRITOL+, INULIN, MILK (RBST FREE), COCOA BUTTER, MILK FAT (RBST FREE), SUNFLOWER LECITHIN, STEVIA EXTRACT, NATURAL FLAVOR.",0.0,
630752,Healthsmart Foods Inc.,"WHEY PROTEIN ISOLATE, ISOMALTO-OLIGOSACCHARIDES, COCOA, SUNFLOWER AND/OR SAFFLOWER OIL, CANOLA OIL, (MEDIUM CHAIN TRIGLYCERIDES), MALTODEXTRIN, NATURAL AND ARTIFICIAL FLAVORS, SALT, MONO & DIGLYCERIDES, LECITHIN, CELLULOSE GUM, XANTHAN GUM, CARRAGEENAN, SUCRALOSE.",0.0,
1124408,Rebel Creamery LLC,"CREAM, WATER, ERYTHRITOL, CHOCOLATE FLAKES (COCONUT OIL, COCOA, ERYTHRITOL, SUNFLOWER LECITHIN, SALT, DUTCHED COCOA, NATURAL VANILLA FLAVOR, MONK FRUIT), CHICORY ROOT FIBER, DUTCHED COCOA, EGG YOLKS, VEGETABLE GLYCERIN, MILK PROTEIN ISOLATE, BUTTER, SALT, PERUVIAN CAROB GUM, GUAR GUM, MONK FRUIT, SUNFLOWER LECITHIN.",0.0,
1108235,"Atkins Nutritionals, Inc.","SOY NUGGETS [SOY PROTEIN ISOLATE, COCOA POWDER (PROCESSED WITH ALKALI), TAPIOCA STARCH], CHOCOLATE FLAVORED COATING [PALM KERNEL OIL, POLYDEXTROSE, MALTITOL, WHEY PROTEIN CONCENTRATE, COCOA POWDER (PROCESSED WITH ALKALI), WHOLE MILK POWDER, SOY LECITHIN, SALT, NATURAL AND ARTIFICIAL FLAVOR, SUCRALOSE, ACESULFAME POTASSIUM], CHOCOLATE FLAVORED CHIPS [MALTITOL, CHOCOLATE LIQUOR (PROCESSED WITH ALKALI), COCOA BUTTER, SOY LECITHIN, VANILLA EXTRACT], GLYCERIN, WALNUTS, SUNFLOWER OIL, HYDROLYZED GELATIN, MALTITOL SYRUP, INULIN, COCOA POWDER (PROCESSED WITH ALKALI), POLYDEXTROSE, FRUCTOOLIGOSACCHARIDES, CONTAINS LESS THAN 2% OF: SOLUBLE CORN FIBER, PALM KERNEL AND PALM OIL, MILK PROTEIN ISOLATE, WATER, SALT, VITAMIN MINERAL MIX, CELLULOSE, NATURAL AND ARTIFICIAL FLAVORS, SKIM MILK POWDER, SOY LECITHIN, SUCRALOSE, BUTTER (CREAM, SALT), ACESULFAME POTASSIUM. VITAMIN MINERAL MIX: MAGNESIUM OXIDE, ASCORBIC ACID (VITAMIN C), SODIUM ASCORBATE, DL-ALPHA-TOCOPHEROL ACETATE (VITAMIN E), NIACINAMIDE (VITAMIN B3), ZINC OXIDE, D-CALCIUM PANTOTHENATE (VITAMIN B5), PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), VITAMIN A PALMITATE, FOLIC ACID (VITAMIN B9), BIOTIN (VITAMIN B7), CHROMIUM AMINO ACID CHELATE, SODIUM SELENITE, PHYLLOQUINONE (VITAMIN K1), CYANOCOBALAMIN (VITAMIN B12).",0.0,
1060713,ROSSCHOCOLATES.CA,"COCOA MASS, INULIN, ERYTHRITOL, COCOA BUTTER, HAZELNUT, NATURAL VANILLA EXTRACT, STEVIOL GLYCOSIDE, MILK.",0.0,
452954,Sinless Raw Food Inc,"RAW ORGANIC CACAO, NATURAL ERYTHRITOL, ORGANIC PECANS, RAW ORGANIC COCONUT, ORGANIC VANILLA, RAW ORGANIC ACAI, RAW ORGANIC HEMP, RAW ORGANIC GREENS, HIMALAYAN SEA SALT, LOVE",0.0,
1138322,The Harrell Sisters,"WATER, SHELLED HEMP SEED, COCOA PROCESSED WITH ALKALI, NATURAL FLAVORS, TRICALCIUM PHOSPHATE, SEA SALT, GUAR GUM, GELLAN GUM, ZINC GLUCONATE, VITAMIN A PALMITATE, CYANOCOBALAMIN (VITAMIN B12), ERGOCALCIFEROL (VITAMIN D2), RIBOFLAVIN (VITAMIN B2).",0.0,
1009043,R. Torre & Co.Inc.,"PURIFIED WATER, NATURAL FLAVORS, CARAMEL COLOR, CITRIC ACID, ACESULFAME POTASSIUM, SODIUM BENZOATE (TO PRESERVE FRESHNESS), POTASSIUM SORBATE (TO PRESERVE FRESHNESS), XANTHAN GUM, SURCRALOSE (SPLENDA BRAND).",0.0,
1063949,Big Five Software,"99.70% OLIVE OIL, 0.30% CHOCOLATE FLAVOR",0.0,
1108229,PANOS Brands LLC ,"INGREDIENTS*: TRIPLE FILTERED PURIFIED WATER, VEGETABLE FIBER, COCOA POWDER, CARAMEL COLOR, XANTHAN GUM, CELLULOSE GUM, NATURAL FLAVORS, NATURAL CHOCOLATE FLAVORS, SALT, SUCRALOSE, LACTIC ACID, SODIUM BISULFATE (NATURAL ACIDIFIER), POTASSIUM SORBATE (TO PRESERVE FRESHNESS), SODIUM BENZOATE (TO PRESERVE FRESHNESS), COFFEE POWDER",0.0,
1095153,Pyure Brands. LLC,"INGREDIENTS: ORGANIC COCOA POWDER, ORGANIC ERYTHRITOL, GUM BLEND (ACACIA, XANTHAN GUM), ORGANIC SUNFLOWER LECITHIN. ORGANIC STEVIA LEAF EXTRACT, ORGANIC NATURAL FLAVOR.",0.0,
664894,Wm. Wrigley Jr. Company,"SORBITOL, GUM BASE, GLYCEROL, NATURAL AND ARTIFICIAL FLAVORS; LESS THAN 2% OF: HYDROGENATED STARCH HYDROLYSATE, ASPARTAME, MANNITOL, ACESULFAME K, SOY LECITHIN, COLORING (INCLUDES BLUE 1 LAKE), BHT (TO MAINTAIN FRESHNESS).",0.0,
1137094,"Safeway, Inc.","MALTITOL (A SWEETENER), UNSWEETENED CHOCOLATE PROCESSED WITH ALKALI, COCOA BUTTER, SOY LECITHIN, NATURAL VANILLA EXTRACT, WHOLE MILK POWDER*.",0.0,
1133685,PANOS Brands LLC ,"INGREDIENTS*:TRIPLE FILTERED PURIFIED WATER, CELLULOSE GUM, SALT, NATURAL FLAVORS, VEGETABLE FIBER, XANTHAN GUM, COCOA POWDER, CARAMEL COLOR, LACTIC ACID, SODIUM BISULFATE (NATURAL ACIDIFIER), CANOLA LECITHIN, TITANIUM DIOXIDE, POTASSIUM SORBATE (TO PRESERVE FRESHNESS), SODIUM BENZOATE (TO PRESERVE FRESHNESS), SUCRALOSE, CARRAGEENAN, BETA CAROTENE COLOR, COFFEE POWDER, ASCORBIC ACID.",0.0,
843330,SUNNY'S,"WATER, MODIFIED CORN STARCH, SORBITOL, MALTITOL, NONFAT MILK*, COCOA (PROCESSED WITH ALKALI), PALM OIL, LESS THAN 2% OF: SALT, MILK PROTEIN ISOLATE, SODIUM STEAROYL LACTYLATE, CARRAGEENAN, ARTIFICIAL FLAVORS, SUCRALOSE, ACESULFAME POTASSIUM.",0.0,
1070497,Polar Corporation,"CONTAINS CARBONATED CRYSTAL CLEAR WATER, NATURAL FLAVORS.",0.0,
1076383,Ripple Foods,"PEA PROTEIN, COCOA POWDER, NATURAL FLAVORS. CONTAINS 2% OR LESS OF SALT, ORGANIC GUAR GUM, ORGANIC GUM ACACIA, XANTHAN GUM, MONK FRUIT EXTRACT",0.0,
959439,Healthy Food Brands LLC,"MALTITOL, CHOCOLATE LIQUOR, COCOA BUTTER, INULIN (NATURAL VEGETABLE FIBER), SOY LECITHIN, VANILLA, CINNAMON.",0.0,
1019257,Target Stores,UNSWEETENED CHOCOLATE.,0.0,
1095023,"PepsiCo, Inc. (CytoSport)","WATER, MILK PROTEIN ISOLATE, CALCIUM CASEINATE (MILK DERIVATIVE), SODIUM CASEINATE (MILK DERIVATIVE), LESS THAN 1% OF: ALKALIZED COCOA POWDER, RESISTANT MALTODEXTRIN (FIBERSOLÂ®-2), NATURAL AND ARTIFICIAL FLAVORS, CELLULOSE GUM AND GEL, DIPOTASSIUM PHOSPHATE, POTASSIUM CHLORIDE, SODIUM HEXAMETAPHOSPHATE, MAGNESIUM PHOSPHATE, SODIUM PHOSPHATE, CARRAGEENAN, ACESULFAME POTASSIUM, CANOLA OIL, SUNFLOWER OIL, POTASSIUM CITRATE, CALCIUM PHOSPHATE, ASCORBIC ACID, SUCRALOSE, DL-ALPHA-TOCOPHERYL ACETATE, FERRIC PYROPHOSPHATE, FOLIC ACID, POTASSIUM IODIDE, CHOLECALCIFEROL, NIACINAMIDE, VITAMIN A PALMITATE, ZINC OXIDE, COPPER GLUCONATE, CALCIUM D-PANTOTHENATE, CHROMIUM CHLORIDE, BIOTIN, CYANOCOBALAMIN, PYRIDOXINE HYDROCHLORIDE, THIAMINE MONONITRATE, RIBOFLAVIN.",0.0,
503239,Mars Retail Group Inc.,"SUGAR FREE CHOCOLATES COATING (ISOMALT, COCOA BUTTER, CHOCOLATE, OLIGOFRUCTOSE, ERYTHRITOL, CALCIUM CARBONATE, SODIUM CASEINATE, MILKFAT, NATURAL & ARTIFICIAL FLAVORS, SOY LECITHIN, SUCRALOSE), SUGAR FREE DARK CHOCOLATES COATING (MALTITOL, CHOCOLATE PROCESSED WITH ALKALI, COCOA BUTTER, MILKFAT, SOY LECITHIN, VANILLA), ALMONDS, MALTITOL, EVAPORATED MILK, CASHEWS, MACADAMIA NUTS, HYDROGENATED COCONUT OIL, BUTTER, TAPIOCA DEXTRIN, NATURAL & ARTIFICIAL FLAVORS, CONFECTIONER'S GLAZE, SALT, SOY LECITHIN, HIGH OLEIC SUNFLOWER OIL.",0.0,
1080121,Russell Stover Candies Inc.,"DARK CHOCOLATE [CHOCOLATE PROCESSED WITH ALKALI, MALTITOL, COCOA BUTTER, SOY LECITHIN, VANILLA, REBIANA (STEVIA EXTRACT)].",0.0,
